the_geom,bin,zipcode,post_type,:@computed_region_f5dn_yrer,:@computed_region_yeji_bk3q,:@computed_region_sbqj_enih,:@computed_region_92fq_4b7q,objectid,addresspointid,house_number,hyphen_type,sosindicator,address_source,validation,boroughcode,collectionmethod,created_date,b7sc_actual,street_name,full_street_name,modified_date,address_status,pre_directional,pre_type,house_number_suffix,special_condition,b7sc_vanity,complexid,a4id,house_number_range,post_directional,house_number_range_suffix,post_modifier,pre_modifier
"{'type': 'Point', 'coordinates': [-73.922228937444, 40.702297678181]}",3073598,11237,ST,42,2,53,37,1565245,3097694,852,N,2,4,3,3,A,2009-02-13T00:00:00.000Z,34763001,HART,HART ST,,,,,,,,,,,,,,
"{'type': 'Point', 'coordinates': [-73.996390585105, 40.678513235345]}",3007945,11231,PL,14,2,48,27,1316223,3010064,127,N,1,4,3,3,A,2009-02-13T00:00:00.000Z,30533001,3,3 PL,,,,,,,,,,,,,,
"{'type': 'Point', 'coordinates': [-73.991507085695, 40.669856811981]}",3022790,11215,ST,14,2,50,27,1486648,3028364,190,N,2,4,3,3,A,2009-02-13T00:00:00.000Z,30623001,11,11 ST,,,,,,,,,,,,,,
"{'type': 'Point', 'coordinates': [-74.006492476159, 40.599676140126]}",3170015,11214,LN,1,2,37,44,1194565,3216948,1908,N,2,4,3,3,A,2009-02-13T00:00:00.000Z,30699001,19,19 LN,,,,,,,,,,,,,,
"{'type': 'Point', 'coordinates': [-73.984119868359, 40.673909455703]}",3347775,11215,ST,14,2,50,27,1645370,3026140,330,N,2,4,3,3,A,2009-02-13T00:00:00.000Z,30523001,2,2 ST,,,,,,,,,,,,,,
"{'type': 'Point', 'coordinates': [-73.981062828958, 40.669053537611]}",3021738,11215,ST,14,2,50,27,1531000,3027103,460,N,2,4,3,3,A,2009-02-13T00:00:00.000Z,30573001,6,6 ST,,,,,,,,,,,,,,
"{'type': 'Point', 'coordinates': [-74.026470449113, 40.632794505322]}",3147381,11209,ST,10,2,41,44,1262313,3191365,321,N,1,4,3,3,A,2009-02-13T00:00:00.000Z,31023001,73,73 ST,,,,,,,,,,,,,,
"{'type': 'Point', 'coordinates': [-73.995045407682, 40.678651951207]}",3007859,11231,ST,14,2,48,27,1676115,3009955,19,N,1,4,3,3,A,2009-02-13T00:00:00.000Z,30538001,3,3 ST,,,,,,,,,,,,,,
"{'type': 'Point', 'coordinates': [-73.977084033264, 40.669108103692]}",3025437,11215,ST,14,2,50,27,1571499,3031493,513,N,1,4,3,3,A,2009-02-13T00:00:00.000Z,30553001,4,4 ST,,,,,,,,,,,,,,
"{'type': 'Point', 'coordinates': [-73.924834807119, 40.607448966656]}",3242295,11234,ST,5,2,38,8,1233287,3301725,2225,N,1,4,3,3,A,2009-02-13T00:00:00.000Z,37445001,RYDER,RYDER ST,,,,,,,,,,,,,,
"{'type': 'Point', 'coordinates': [-74.038290902534, 40.623750745638]}",3153592,11209,ST,10,2,41,44,1606762,3198301,63,N,1,4,3,3,A,2009-02-13T00:00:00.000Z,31098001,88,88 ST,,,,,,,,,,,,,,
"{'type': 'Point', 'coordinates': [-73.98290734877, 40.671629273753]}",3021193,11215,ST,14,2,50,27,1375099,3026476,330,N,2,4,3,3,A,2009-02-13T00:00:00.000Z,30553001,4,4 ST,,,,,,,,,,,,,,
"{'type': 'Point', 'coordinates': [-73.978885730447, 40.678518891105]}",3019191,11217,AVE,14,2,50,27,986438,3024415,135,N,1,4,3,3,A,2009-02-13T00:00:00.000Z,30558001,5,5 AVE,2025-05-06T16:06:35.000Z,,,,,,,,,,,,,
"{'type': 'Point', 'coordinates': [-73.729128980084, 40.666245377195]}",4571419,11422,AVE,63,3,63,47,1926246,5185346,247-16,Q,2,1,5,4,O,2018-02-20T15:54:40.000Z,45755001,CONDUIT,N  CONDUIT AVE,2025-05-07T09:16:42.000Z,4.0,N,,,,,,,,,,,
"{'type': 'Point', 'coordinates': [-73.982686198022, 40.764789192762]}",1078860,10019,ST,11,4,10,10,1750286,1023622,230,N,1,1,2,1,F,2009-04-06T00:00:00.000Z,13487001,55,W  55 ST,2025-05-06T13:30:13.000Z,,W,,,,,,,,,,,
"{'type': 'Point', 'coordinates': [-73.985401440549, 40.723221474644]}",1004962,10009,,70,4,5,50,1855372,1006121,28,N,2,3,5,1,F,2009-04-06T00:00:00.000Z,11211001,A,AVE A,2025-05-08T16:22:51.000Z,4.0,,AVE,,,,,,,,,,
"{'type': 'Point', 'coordinates': [-73.824095313773, 40.764738834194]}",4609746,11354,BLVD,22,3,67,3,1928372,10171583,141-47,Q,1,1,5,4,O,2017-11-15T00:00:00.000Z,45779001,NORTHERN,NORTHERN BLVD,2025-05-09T16:29:10.000Z,4.0,,,,,,,,,,,,
"{'type': 'Point', 'coordinates': [-74.003337802684, 40.721722714455]}",1079562,10013,ST,57,4,1,32,981378,1003233,23,N,1,4,3,1,A,2009-04-06T00:00:00.000Z,14547001,WOOSTER,WOOSTER ST,2025-05-06T16:11:43.000Z,,,,,,,,,,,,,
"{'type': 'Point', 'coordinates': [-73.819179696668, 40.820787145551]}",2130770,10465,AVE,43,5,28,12,1943088,5215413,416,N,2,3,5,2,A,2025-05-06T11:16:53.000Z,26112001,REVERE,REVERE AVE,,4.0,,,,,,,,,,,,
"{'type': 'Point', 'coordinates': [-73.709600591339, 40.736907605386]}",4624109,11001,AVE,63,3,63,16,1943071,5215463,258-16,Q,2,1,5,4,O,2025-05-09T15:54:03.000Z,44969001,HILLSIDE,HILLSIDE AVE,,4.0,,,,,,,,,,,,
"{'type': 'Point', 'coordinates': [-73.852999138652, 40.826121361115]}",2129231,10473,AVE,58,5,26,31,1943112,5215410,951,N,1,3,5,2,O,2025-05-06T11:16:53.000Z,25572001,OLMSTEAD,OLMSTEAD AVE,,4.0,,,,,,,,,,,,
"{'type': 'Point', 'coordinates': [-73.946093036987, 40.701882895766]}",3429305,11206,AVE,36,2,56,38,1943078,5215405,92,N,2,3,5,3,A,2025-05-02T18:15:22.000Z,38533001,THROOP,THROOP AVE,,4.0,,,,,,,,,,,,
"{'type': 'Point', 'coordinates': [-73.900149384638, 40.637141130392]}",3429201,11236,ST,5,2,42,8,1943093,5215426,1372,N,2,3,5,3,O,2025-05-06T16:04:51.000Z,33788001,92,E  92 ST,,4.0,E,,,,,,,,,,,
