bin,name,map_pluto_bbl,construction_year,feature_code,last_status_type,height_roof,borough_nta,nta_name,nta_key,the_geom,doitt_id,shape_area,base_bbl,objectid,geometry_source,ground_elevation,last_edited_date,length
4451699,,4075327501,1.95,2.1,Constructed,27,Queens,Bayside,bayside,"MULTIPOLYGON (((-73.754164524217 40.754204205626, -73.754017233458 40.754294188849, -73.753969869366 40.754249355807, -73.754117161275 40.754159372646, -73.754164524217 40.754204205626)))",321944,"177,74609375",4075320028,507.357,Other (Manual),93.0,2017 Aug 22 07:18:38 PM,"59,00493914847"
4558952,,4105630045,1.93,5.11,Constructed,"13,06",Queens,Queens Village,queensvillage,"MULTIPOLYGON (((-73.752833632645 40.718950886538, -73.752894124107 40.718923485884, -73.752914420644 40.718949424614, -73.752853929167 40.718976825278, -73.752833632645 40.718950886538)))",255026,"34,7421875",4105630045,137.879,Photogrammetric,72.0,2017 Aug 17 04:20:43 PM,"24,54838693659"
3176483,,3066450044,1.915,2.1,Constructed,"36,76158895",Brooklyn,Gravesend (West),gravesendwest,"MULTIPOLYGON (((-73.983724899823 40.603341363603, -73.983808722659 40.603332238742, -73.983925893107 40.603319483081, -73.98393618615 40.603374410069, -73.983762528728 40.603393315545, -73.983761301554 40.603386771277, -73.983733967896 40.603389747241, -73.983731905305 40.603378747071, -73.983724899823 40.603341363603)))",759005,"180,890625",3066450044,982.953,Photogrammetric,18.0,2017 Aug 22 03:37:34 PM,"61,475641059"
3393369,,3038010128,1.997,2.1,Constructed,"21,95",Brooklyn,East New York-New Lots,eastnewyorknewlots,"MULTIPOLYGON (((-73.898281325434 40.665471817987, -73.898362836953 40.665459883442, -73.898410165903 40.665452953447, -73.898422433592 40.665501532747, -73.898377570891 40.665508102017, -73.898293593031 40.665520398201, -73.898281325434 40.665471817987)))",949392,"106,03515625",3038010128,244.121,Photogrammetric,32.0,2017 Aug 22 03:31:10 PM,"43,73257171213"
2019299,,2033800084,1.91,2.1,Constructed,"33,49",Bronx,Wakefield-Woodlawn,wakefieldwoodlawn,"MULTIPOLYGON (((-73.869957915648 40.900305259723, -73.869953578094 40.900283350548, -73.869946517529 40.900284155732, -73.869936282361 40.900270382996, -73.869932735696 40.900252472864, -73.869937813044 40.900240195073, -73.869944873605 40.900239389889, -73.869941725318 40.900223493689, -73.869936990244 40.900223397406, -73.869932338203 40.900222715901, -73.869927896147 40.900221466427, -73.869923782686 40.900219684235, -73.869920108102 40.900217414476, -73.869916971961 40.900214720294, -73.869914457196 40.900211674723, -73.86991263367 40.900208357084, -73.869911863559 40.900205875381, -73.869911547493 40.900204857477, -73.86991123052 40.90020127139, -73.869911689687 40.900197693382, -73.869912912936 40.90019422069, -73.869914866852 40.900190946929, -73.869917500237 40.900187958486, -73.869920741721 40.900185337225, -73.869924504535 40.900183152387, -73.869928686498 40.900181464187, -73.869933175966 40.900180316625, -73.870020952121 40.900170310242, -73.870024917164 40.900190335181, -73.870030597182 40.900189687824, -73.870040713107 40.900240778302, -73.87005137199 40.900294605963, -73.869957915648 40.900305259723)))",353927,"217,17578125",2033800084,229.537,Photogrammetric,197.0,2017 Aug 22 06:57:18 PM,"63,26829042165"
5052578,,5036360058,1.96,2.1,Constructed,"21,13",Staten Island,New Dorp-Midland Beach,newdorpmidlandbeach,"MULTIPOLYGON (((-74.114426261398 40.574459066449, -74.114500753364 40.574405084974, -74.114529017986 40.574427762646, -74.114546927934 40.574414783527, -74.114566299265 40.574430326189, -74.114584868562 40.574416869128, -74.114621114734 40.574445950556, -74.114586332827 40.57447115584, -74.114604561768 40.574485781099, -74.114522471264 40.574545268824, -74.114463084729 40.574497619978, -74.11446898474 40.574493345609, -74.114426261398 40.574459066449)))",281098,"240,58203125",5036360058,246.429,Photogrammetric,44.0,2017 Aug 22 06:56:39 PM,"69,03091149333"
3083803,,3037200028,1.901,2.1,Constructed,"30,11",Brooklyn,East New York (North),eastnewyorknorth,"MULTIPOLYGON (((-73.896262299119 40.672560279994, -73.896395308765 40.672540669542, -73.896398339336 40.672552585196, -73.896406436535 40.672584423925, -73.896275576322 40.672603717546, -73.896273426805 40.672604034391, -73.896262299119 40.672560279994)))",419689,"98,66015625",3037200028,808.886,Photogrammetric,44.0,2017 Aug 22 03:51:01 PM,"43,24815820037"
3100941,,3046410004,1.931,2.1,Constructed,"14,31",Brooklyn,East Flatbush-Rugby,eastflatbushrugby,"MULTIPOLYGON (((-73.926669954002 40.656602688093, -73.926690714386 40.656793015757, -73.926553544051 40.656801693888, -73.926525112942 40.656541026393, -73.926662281562 40.656532349195, -73.926669954002 40.656602688093)))",533049,"588,09375",3046410004,370.632,Photogrammetric,34.0,2017 Aug 22 03:46:44 PM,"107,40626456649"
2117607,,2027640025,,2.1,Constructed,11,Bronx,Hunts Point,huntspoint,"MULTIPOLYGON (((-73.883191727629 40.815156736495, -73.883222920627 40.815276765745, -73.88317250622 40.815284327484, -73.883141313309 40.81516429822, -73.883191727629 40.815156736495)))",458160,"102,94140625",2027640025,80.512,Other (Manual),25.0,2017 Aug 10 03:05:25 PM,"47,42875331263"
5007740,,5002870016,1.955,2.1,Constructed,"17,96",Staten Island,West New Brighton-Silver Lake-Grymes Hill,westnewbrightonsilverlakegrymeshill,"MULTIPOLYGON (((-74.107898049407 40.62498267065, -74.108033645591 40.624968397926, -74.108037235127 40.624988199708, -74.108048044274 40.625047816637, -74.107872276434 40.625066317201, -74.107865853516 40.625030886832, -74.107858717492 40.624991531761, -74.107857877956 40.624986898468, -74.107898049407 40.62498267065)))",649423,"232,26171875",5002870016,232.182,Photogrammetric,220.0,2017 Aug 22 05:36:42 PM,"63,02322826023"
