the_geom,Pay_By_Cel,Vehicle_Ty,All_Vehicl,All_Vehi_1,All_Vehi_2,All_Vehi_3,Commercial,Commerci_1,Commerci_2,Commerci_3,On_Street,Side_of_St,From_Stree,To_Street,Borough,Meter_Rate,Shape_Leng
"MULTILINESTRING ((-74.11680631313563 40.574154051705946, -74.11680606333323 40.57415302536113, -74.11680587259589 40.5741520079615, -74.11680572906653 40.574150972503425, -74.11680563279236 40.57414994600251, -74.11680558374192 40.574148910448315, -74.11680557012106 40.574147874858106, -74.11680561554954 40.5741468392079, -74.11680570821746 40.57414580350962, -74.11680584814056 40.57414477676854, -74.11680602349325 40.57414374999143, -74.11680625791101 40.574142732159515, -74.1168065395682 40.57414171427963, -74.11680685668648 40.57414071437413, -74.11680722104418 40.57413971442061, -74.11680764448269 40.574138732417524, -74.11680810336645 40.5741377593837, -74.11680859769561 40.57413679531903, -74.11680915110554 40.57413584920478, -74.11680973997655 40.574134921064974, -74.11681037610272 40.574134001882385, -74.11681104768995 40.57413310067426, -74.11681175475401 40.574132226445805, -74.11681250907323 40.57413136117451, -74.11681331067912 40.57413052287092, -74.11681413593617 40.57412970255377, -74.11681500847992 40.574128909204326, -74.11681590467487 40.57412813384128, -74.11681684815649 40.57412738544592, -74.11681781530507 40.574126664042225, -74.11681881793045 40.57412596961821, -74.11681985603258 40.57412530217386, -74.11682092961158 40.574124661709256, -74.11682201504765 40.57412404824827, -74.11682313596053 40.57412346176696, -74.11682429236598 40.57412291127056, -74.11682546062852 40.57412238777786, -74.1168266525737 40.57412190028206, -74.11682786818591 40.57412143977793, -74.11683900278342 40.574113476815796, -74.11687897637553 40.57408485348119, -74.11693009633484 40.57404827615484, -74.11698120441251 40.574011689812366, -74.11703231243418 40.57397510344704, -74.11708342041564 40.57393852606409, -74.11713452832535 40.573901939653084, -74.11718563617912 40.57386535321918, -74.11723674399263 40.57382877576766, -74.11728785173437 40.57379218928803, -74.11733650385307 40.57375610058263, -74.11738515593494 40.57372002086174, -74.11743380794847 40.57368393211492, -74.11748244809966 40.573647843359424, -74.11753110002385 40.573611763576366, -74.11757975187967 40.57357567476733, -74.11762658716897 40.573540830522546, -74.11767342239354 40.573505977253326, -74.11772025758508 40.5734711329701, -74.1177670927119 40.57343627966245, -74.11781392780573 40.57340143534087, -74.11781521385925 40.573400749622664, -74.11781653540551 40.573400099889064, -74.11781788063476 40.57339948615217, -74.11781926135671 40.57339890839991, -74.11782065396774 40.57339837566168, -74.11782208205565 40.5733978699028, -74.11782352201679 40.57339740015274, -74.11782499748655 40.573396975392534, -74.11782647301976 40.57339658665323, -74.11782797223603 40.57339623391062, -74.11782949515116 40.57339592616998, -74.11783101812982 40.57339565445024, -74.1178325648073 40.57339542773244, -74.11783411156426 40.573395246040825, -74.11783567017861 40.573395091352786, -74.11783581187947 40.57339508220218, -74.11783722888825 40.573394990696144, -74.11783879947113 40.573394926048344))",500110,All Vehicles,2 Hours,Monday-Saturday 9 AM-5 PM,$1.50 1st Hour / $2.50 2nd Hour,$4.00,,,,,New Dorp Plaza,N,New Dorp Lane,Rose Avenue,Staten Island,Zone 3,"401,031186927"
"MULTILINESTRING ((-74.11755282909158 40.574550692033974, -74.11755124689314 40.574550882763276, -74.11754966459961 40.57455101946113, -74.11754941662268 40.574551037725385, -74.11754807043279 40.574551120150126, -74.11754647620253 40.57455118481815, -74.1175448700831 40.574551204472044, -74.11754327569435 40.574551179087656, -74.11754168122643 40.57455110867707, -74.11754008669506 40.574551002245514, -74.11753850389441 40.57455085077566, -74.11753693284037 40.57455066327277, -74.11753536170704 40.57455043074371, -74.11753380232028 40.57455016218156, -74.11753225466424 40.57454984858112, -74.11753073054892 40.574549489930334, -74.11752921819594 40.57454910425172, -74.1175277293678 40.57454866451751, -74.11752625230206 40.57454819775549, -74.11752479877704 40.57454768594311, -74.11752336880848 40.5745471380856, -74.11752197420637 40.57454655417088, -74.11752060316077 40.57454593421107, -74.11751925567174 40.574545278206095, -74.11751793173919 40.574544586156, -74.11747010122875 40.57451895839894, -74.11745945279361 40.57451325365331, -74.11741115067683 40.57448737870941, -74.11740096209299 40.57448192113283, -74.11736306374208 40.57446161969311, -74.11734247144723 40.574450588582465, -74.11730439107893 40.57443018464945, -74.11729591774542 40.57442564474834, -74.11728399266627 40.5744192559902, -74.11723508544917 40.574393057400904, -74.11722550213027 40.574387923380115, -74.11716701164913 40.57435659074018, -74.11710853303276 40.57432525805831, -74.11705004266138 40.57429392535862, -74.11699155234487 40.57426259262909, -74.11693307389311 40.574231259857626, -74.11687458368634 40.57419992706839, -74.11682867103053 40.574175326393146, -74.11681609353444 40.57416859424924, -74.11681518282023 40.57416782072358, -74.11681430750416 40.57416702915141, -74.11681346758627 40.574166219532735, -74.11681267486055 40.5741653828503, -74.1168119057231 40.574164528133416, -74.11681118377788 40.57416364635275, -74.1168105090564 40.5741627555188, -74.11680986973305 40.57416184663836, -74.11680926579206 40.574160910706176, -74.1168087090748 40.57415996572074, -74.11680819958127 40.57415901168203, -74.11680772548591 40.57415803959678, -74.1168073104241 40.57415705844627, -74.11680693076039 40.57415605924926, -74.11680659833615 40.57415506000425, -74.11680631313563 40.574154051705946))",500111,All Vehicles,2 Hours,Monday-Saturday 9 AM-5 PM,$1.50 1st Hour / $2.50 2nd Hour,$4.00,,,,,New Dorp Lane,W,4 Street,New Dorp Plaza,Staten Island,Zone 3,"254,524150417"
"MULTILINESTRING ((-73.99303125424038 40.692879727196896, -73.993031585437 40.69288038459137, -73.99303188114091 40.6928810419837, -73.99303214135023 40.692881717384154, -73.99303237789681 40.692882401788275, -73.99303257895068 40.69288308619028, -73.99303275634273 40.69288377059079, -73.99303288641025 40.69288446399358, -73.9930330046459 40.69288516640083, -73.99303307555793 40.69288586880519, -73.99303312280911 40.692886562202986, -73.9930331345666 40.692887264603776, -73.99303312266231 40.69288796700312, -73.99303307526529 40.69288866940028, -73.99303299237556 40.69288937179533, -73.99303288582495 40.69289006518383, -73.9930327319507 40.692890758569455, -73.99303256624556 40.69289145195435, -73.99303235321771 40.69289213633127, -73.99303211652901 40.6928928117016, -73.99303185617846 40.69289348707052, -73.99303156033616 40.69289415343216, -73.99302605773619 40.69290589578708, -73.99300739620797 40.692945796381245, -73.99298460472616 40.69299462080332, -73.99296180138009 40.69304344521981, -73.99294441661391 40.69308069477124, -73.99293900983062 40.693092278637366, -73.99291621824871 40.693141103044944, -73.99289341480151 40.6931899364521, -73.99287062315283 40.69323876085008, -73.99284783147077 40.69328758524324, -73.99282502792337 40.693336418635944, -73.99280563489015 40.693377327724015, -73.99280191674548 40.69338517095844, -73.9927788055338 40.69343392327601, -73.9927556942883 40.69348267558862, -73.99273186114009 40.6935330487738, -73.99273147063101 40.69353383219529, -73.99273104462983 40.69353460660943, -73.99273058313658 40.6935353720162, -73.99273009798323 40.693536119411206, -73.99272956550676 40.69353685779805, -73.9927289975392 40.693537578172446, -73.99272840591152 40.69353828053508, -73.99272777879176 40.69353897389034, -73.99272711618194 40.69353964022796, -73.99272642991096 40.693540297558954, -73.99272570814888 40.693540936877476, -73.99272496272769 40.69354154917903, -73.99272418181441 40.69354215247327, -73.99272338907303 40.69354272875135, -73.99272256084153 40.69354327801182, -73.99272170894993 40.69354380926051, -73.99272082156727 40.69354432249672, -73.99271992235647 40.69354480871677, -73.99271901131759 40.69354526792069, -73.99271806478858 40.69354570010691, -73.99271710643049 40.69354611428218, -73.9927161244133 40.693546501440544, -73.99271513056809 40.693546861582774))",300120,All Vehicles,2 Hours,Monday-Saturday 8 AM-7 PM,$2.50 1st Hour / $5.00 2nd Hour,$7.50,,,,,Clinton Street,E,Joralemon Street,Remsen Street,Brooklyn,Zone 1,"259,564351411"
"MULTILINESTRING ((-73.99105584106529 40.692579557730035, -73.99105669293971 40.692579161570535, -73.991057568471 40.692578801433385, -73.99105845583188 40.692578450302285, -73.99105935501882 40.69257813519262, -73.99106026603418 40.692577838094124, -73.99106120070883 40.692577559007695, -73.99106213537864 40.69257731594179, -73.99106309370774 40.69257709088798, -73.99106405203314 40.69257689284956, -73.99106502218703 40.69257671282232, -73.9910659923361 40.69257656881557, -73.9910669743136 40.69257644281999, -73.99106796811833 40.692576343840706, -73.99106896191941 40.69257627187678, -73.99106995571685 40.69257622692825, -73.99107094951071 40.6925762089951, -73.99107194330095 40.692576218077335, -73.99107293708879 40.69257624516983, -73.9910739308718 40.69257630828281, -73.99107492465241 40.69257638940604, -73.9910759065985 40.69257649754377, -73.99107688854102 40.69257663269684, -73.99112854099818 40.69258442612705, -73.99115209575479 40.692587966956246, -73.99119925259893 40.692595048603756, -73.99125382252056 40.69260324653112, -73.99126996422221 40.692605671037064, -73.99134067586802 40.692616293426894, -73.99141138753636 40.692626915773225, -73.99148209922724 40.69263753807611, -73.9915528227715 40.69264816033639, -73.9916235345063 40.6926587915575, -73.99169424626473 40.692669413730016, -73.99176495804574 40.69268003585904, -73.99178050470286 40.69268237109994, -73.99183566984927 40.69269065794462, -73.99190638167534 40.692701279986764, -73.99197709352393 40.692711901985376, -73.99204781722594 40.692722523941406, -73.9921185291196 40.6927331458531, -73.99218924103579 40.69274376772136, -73.9922599529745 40.692754389546174, -73.99230535556413 40.69276120947356, -73.9923306649357 40.69276501132748, -73.99240137691845 40.6927756420705, -73.99247208892477 40.6927862637649, -73.99254003257383 40.69279645299023, -73.99260797624359 40.69280664217544, -73.99267591993413 40.692816831320535, -73.99274386364547 40.69282702042545, -73.99281180737657 40.69283721849544, -73.9928178587826 40.69283812568976, -73.99287973929852 40.692847407519416, -73.99294768307217 40.69285759650396, -73.99297547341804 40.69286176757835, -73.99301156892938 40.692867190863566, -73.9930124680619 40.69286734400538, -73.9930133671925 40.69286751515742, -73.99301425448941 40.69286771332411, -73.99301512995261 40.69286793850548, -73.99301599358301 40.6928681816964, -73.99301684538064 40.69286844289681, -73.99301768534454 40.6928687311119, -73.99301851347565 40.69286903733654, -73.99301932977299 40.69286937057583, -73.99302013423761 40.69286972182467, -73.99302091503854 40.69287009108233, -73.99302167217485 40.69287048735388, -73.99302241747839 40.692870901635, -73.99302315094913 40.692871333925666, -73.9930238607562 40.69287178422515, -73.99302454689959 40.69287225253346, -73.99302520937924 40.69287273885057, -73.99302586002712 40.69287323417211, -73.99302647517946 40.69287375650686, -73.99302706666813 40.69287429685047, -73.99302764632496 40.69287484619843, -73.99302819048721 40.692875413554525, -73.9930287109867 40.69287598991433, -73.99302920782253 40.692876584282935, -73.99302966916471 40.69287718765453, -73.99303010684321 40.692877809034954, -73.99303052085895 40.69287843941904, -73.99303091121192 40.692879078806875, -73.99303125424038 40.692879727196896))",300121,All Vehicles,2 Hours,Monday-Saturday 9 AM-7 PM,$2.50 1st Hour / $5.00 2nd Hour,$7.50,,,,,Joralemon Street,N,Court Street,Clinton Street,Brooklyn,Zone 1,"560,348838184"
"MULTILINESTRING ((-73.99271513056809 40.693546861582774, -73.99271411306371 40.69354719470811, -73.99271378178423 40.693547293743556, -73.99271309556228 40.693547500818056, -73.99271205440174 40.693547779911114, -73.99271100141411 40.693548022982895, -73.99270993659742 40.693548248043655, -73.99270885995271 40.69354844608827, -73.99270778331187 40.69354860811237, -73.99270669484297 40.69354874312032, -73.99270559454598 40.693548851112126, -73.99270450608299 40.693548932089286, -73.99270340579196 40.69354898605031, -73.99270230550484 40.693549003990796, -73.99270119338964 40.69354899491514, -73.99270009310841 40.69354895882485, -73.99269899283115 40.69354888671402, -73.99269790438693 40.69354879659369, -73.9926968159466 40.69354867045281, -73.99269572750924 40.69354851729657, -73.99269465090586 40.693548337125655, -73.99269358613746 40.69354812093498, -73.99269253320207 40.693547886734805, -73.99269148027068 40.693547616514095, -73.99269045100428 40.69354731927948, -73.99268943357085 40.693547004035366, -73.99268842797242 40.69354665277149, -73.99268744603901 40.693546274493706, -73.9926864759386 40.6935458782064, -73.99268552950426 40.69354544590013, -73.99266978289145 40.69354109542128, -73.9926226495417 40.693528070994006, -73.99255976961196 40.69351069605351, -73.99249690154599 40.69349332107941, -73.99243402168179 40.693475946070144, -73.99237115368132 40.693458571027236, -73.99230827388264 40.693441195949205, -73.992297742259 40.693438285687826, -73.99224539411676 40.693423820836756, -73.99218252621465 40.69340644569072, -73.99211964651536 40.69338906150436, -73.99205676684774 40.69337168628874, -73.99199389904393 40.693354311039556, -73.99192728098136 40.693335854877546, -73.99191725929015 40.6933330787935, -73.99186065112463 40.6933173986761, -73.99179403313575 40.69329894243687, -73.99172741518382 40.693280486159026, -73.99166707929717 40.69326377279002, -73.99166078543774 40.69326202984174, -73.99159416755957 40.69324357348668, -73.99152754971823 40.69322511709307, -73.99146093191376 40.69320666066082, -73.99141766407749 40.69319467521809, -73.99139430231529 40.69318820418906, -73.99132768458459 40.69316974767959, -73.99126106689083 40.6931512911315, -73.99119444923392 40.6931328345448, -73.99112781978171 40.693114386923796, -73.9910612021986 40.693095930259894, -73.99103032222257 40.69308737478589, -73.99099458465231 40.69307747355737, -73.99092795531202 40.693059016815326, -73.99087973424787 40.69304562237739, -73.99086502895611 40.693041541887716, -73.99086394055468 40.69304121761667, -73.99086286398789 40.693040866331174, -73.99086181108669 40.693040488032146, -73.99086077002013 40.69304008271869, -73.99085975261916 40.693039650391675, -73.99085874705288 40.69303919105024, -73.99085776515214 40.693038704695326, -73.99085680691698 40.69303819132685, -73.99085588417711 40.69303765995093, -73.99085497327313 40.69303709255542, -73.99085408603224 40.693036516156646, -73.99085323428918 40.69303590374021, -73.99085240621042 40.693035273315346, -73.99085161362693 40.69303462488306, -73.99085084470903 40.69303394943731, -73.99085011128517 40.69303326498919, -73.99084940152692 40.693032553527566, -73.99084872726392 40.69303182405852, -73.99084808849622 40.693031076582024, -73.99084748522262 40.693030320103205, -73.99084691744547 40.69302953661189, -73.99084638516236 40.693028744118195, -73.9908458883733 40.69302794262219, -73.9908454270795 40.69302712311877, -73.99084500127977 40.693026294613034, -73.99084462280499 40.69302545710596, -73.99084426799456 40.6930246015905, -73.99084396050785 40.69302374607877, -73.9908437003461 40.69302288156569, -73.99084346384747 40.69302200804936, -73.9908432746738 40.6930211255317, -73.99084313282384 40.69302024301779, -73.99084302646668 40.69301936050668, -73.99084295560354 40.69301846899329, -73.99084292023196 40.69301758648783, -73.99084293218532 40.69301669498104, -73.9908429914624 40.69301580347798, -73.99084308623227 40.69301491197775, -73.99084321649369 40.69301402948547))",300123,All Vehicles,2 Hours,Monday-Saturday 9 AM-7 PM,$2.50 1st Hour / $5.00 2nd Hour,$7.50,,,,,Remsen Street,S,Clinton Street,Court Street,Brooklyn,Zone 1,"558,390254419"
"MULTILINESTRING ((-73.98181745946978 40.68742086936657, -73.98181877271782 40.687420410312164, -73.98182012144586 40.687419987283874, -73.98182147016409 40.687419600276115, -73.98182285436472 40.68741924028935, -73.98182423855305 40.687418925328245, -73.98182564639144 40.68741864639141, -73.98182706604993 40.68741840347697, -73.98182848569861 40.68741819658303, -73.98182992899734 40.687418025713356, -73.98183110019032 40.68741791783665, -73.98183136045625 40.68741789086235, -73.98183281556281 40.68741780104071, -73.98183425883208 40.68741773823262, -73.981835713919 40.687417720452025, -73.98183716899607 40.687417738691984, -73.98183861223345 40.68741779295056, -73.98184006728849 40.687417892236695, -73.98184149867633 40.687418018534466, -73.98184294188178 40.687418189859756, -73.9818443614176 40.687418397201846, -73.98184578094364 40.68741864056445, -73.98184718862996 40.68741891994572, -73.98184857264654 40.68741923534377, -73.98184995665339 40.687419586762346, -73.98185131699057 40.68741997419773, -73.98185265365811 40.687420397649895, -73.98185397848587 40.68742085712073, -73.98185527964402 40.68742135260832, -73.98190403741893 40.68744059525506, -73.9819106141615 40.687443189768096, -73.98196456475549 40.6874644953813, -73.98201851538403 40.687485800969164, -73.98207246604701 40.68750710653166, -73.98212641674206 40.68752842107394, -73.98218224834835 40.68755006006704, -73.98221906292348 40.687564334398054, -73.98223807998852 40.68757170803807, -73.98229391166728 40.68759334697684, -73.98234974338229 40.687614985888445, -73.9824055751312 40.68763663377805, -73.98246682442338 40.68766065081659, -73.98252807375972 40.68768466782243, -73.98258931131016 40.68770868479386, -73.98265056073474 40.687732701734355, -73.98271181020107 40.687756727647354, -73.98273445879435 40.687765608309725, -73.98277305971389 40.687780744522556, -73.9828342974408 40.68780476136327, -73.98289497931931 40.68782831882687, -73.98295567306839 40.68785188526528, -73.98301635503032 40.68787545166983, -73.98307703703746 40.687899009037196, -73.98313771908516 40.68792257537765, -73.98319840117809 40.68794613268085, -73.98325908331162 40.68796969895717, -73.98331977732028 40.687993256198006, -73.98338028212936 40.688016660292114, -73.9834407988132 40.68804005535089, -73.98350130370719 40.688063459381226, -73.98356182047596 40.68808685437625, -73.9836223254571 40.688110249337726, -73.98368284230861 40.68813365327406, -73.9837146739509 40.68814616591503, -73.98374555929195 40.68815830019791, -73.98380509078585 40.688181702129626, -73.98380826449164 40.68818294708579, -73.9838664273962 40.68820590934257, -73.98386778771753 40.688206476856756, -73.98386912437006 40.688207080388146, -73.98387042552366 40.688207719935065, -73.98387170301062 40.68820838649403, -73.98387294499643 40.68820909807373, -73.98387416331565 40.68820983666547, -73.98387534613812 40.68821060226766, -73.98387648163161 40.68821140388373, -73.98387759345844 40.68821223251188, -73.9838786579584 40.688213088148764, -73.98387968695951 40.68821397980123, -73.983880668636 40.68821488945733, -73.98388161481357 40.688215835128986, -73.98388251366868 40.68821678979913, -73.98388336519479 40.68821778048315, -73.98388418122636 40.6882187891725, -73.98388425218288 40.68821888823892, -73.98388493810315 40.688219815863825, -73.98388565948325 40.68822086956559, -73.98388632171081 40.688221932264156, -73.98388693661157 40.68822302197152, -73.98388750418984 40.688224120677404, -73.98388802444563 40.68822522838179, -73.98388848554454 40.68822636309325, -73.98388891115323 40.68822749779978))",300126,All Vehicles,2 Hours,Monday-Saturday 8 AM-7 PM,$2.50 1st Hour / $5.00 2nd Hour,$7.50,,,,,Schermerhorn Street,N,Nevins Street,Bond Street,Brooklyn,Zone 1,"647,940969555"
"MULTILINESTRING ((-74.00897378705339 40.713790801817595, -74.00897366854733 40.713789614053496, -74.0089736210475 40.71378841547777, -74.00897362088746 40.713787226804, -74.00897366806468 40.71378602912138, -74.00897377441619 40.71378484043926, -74.00897393994076 40.71378365175252, -74.008974152805 40.71378247206724, -74.00897442484352 40.713781301382404, -74.00897474422048 40.71378013069388, -74.0089751227717 40.713778969005894, -74.00897556049843 40.71377782532343, -74.00897603373018 40.71377669064335, -74.00897656613616 40.71377556496373, -74.00897715771764 40.71377445728976, -74.00897778480537 40.71377336762316, -74.00897847106857 40.71377229596217, -74.00897920467264 40.713771242307686, -74.00897998561756 40.713770206659724, -74.00899269380677 40.71375401448941, -74.00901498637451 40.71372564666585, -74.00905115851774 40.713679672767476, -74.00908733061102 40.71363369885742, -74.00912350265445 40.713587724935806, -74.00915966281465 40.71354176000854, -74.0091958347583 40.71349578606356, -74.00923200665206 40.71344981210701, -74.00926817849587 40.71340383813876, -74.00929217471207 40.71337338093859, -74.0093028949105 40.71335979136901, -74.00930356936232 40.71335895383971, -74.00930429115608 40.713358143321905, -74.00930504845599 40.713357350811435, -74.00930584126198 40.71335657630834, -74.00930666957535 40.71335582881763, -74.00930753339485 40.71335509933427, -74.0093084327217 40.71335439686333, -74.00930935572006 40.713353712400675))",100165,Dual (Commercial / All Vehicles),2 Hours,"Monday-Friday 2 PM-7 PM, Saturday 7 AM-7 PM",$5.50 1st Hour / $9.00 2nd Hour,$14.50,2 Hours,Monday-Friday 7 AM-2 PM,$7.00 1st Hour / $10.00 2nd Hour,$17.00,Church Street,W,Park Place,Murray Street,Manhattan,Zone M1,"184,957851825"
"MULTILINESTRING ((-74.01009928904125 40.71430117283176, -74.01009893401095 40.71430124490374, -74.01009754939379 40.71430153228804, -74.0100957860689 40.714301838616215, -74.01009401090242 40.7143020999199, -74.01009223572912 40.71430231619806, -74.01009044871432 40.71430248745167, -74.01008864985795 40.71430261368078, -74.01008683915869 40.714302685880284, -74.01008504028736 40.71430271305319, -74.01008322957448 40.7143026952016, -74.01008143068947 40.71430263232341, -74.01007963179636 40.71430251541458, -74.0100778447311 40.71430235347916, -74.01007605765903 40.71430214651818, -74.01007428241354 40.71430188552552, -74.01007251899736 40.71430158851139, -74.0100707792424 40.71430123746453, -74.01006905131536 40.71430084139109, -74.01006733521766 40.71430040929618, -74.01006564278117 40.71429992316853, -74.01006398584204 40.714299392012265, -74.01006234073226 40.71429882483449, -74.01006071928508 40.71429821262915, -74.01005914516993 40.71429755539412, -74.01005758288275 40.71429685313248, -74.01004865888869 40.714292702558765, -74.0100320488998 40.714284972225, -74.01001590996867 40.71427745977136, -74.00997614259762 40.71425894963073, -74.00992012525676 40.71423402744251, -74.0098641079592 40.714209115132604, -74.00980809070225 40.714184193790175, -74.00976556708723 40.71416527588016, -74.00975207348719 40.71415927242049, -74.00969606814995 40.71413436002756, -74.00964005101865 40.71410943860314, -74.00958756223638 40.71408724630474, -74.00952801688294 40.71405960467743, -74.00946882790203 40.71403266628855, -74.00946653774767 40.714031625486854, -74.00940963897023 40.71400573687427, -74.00935045008498 40.71397879842441, -74.00929126124763 40.71395185994396, -74.00923207245808 40.71392492143297, -74.00920909287628 40.71391446384457, -74.00917288371636 40.713897982891474, -74.00911369502371 40.71387105332455, -74.00905449454307 40.713844114722924, -74.00899751915512 40.71381818448861, -74.00899725285983 40.71381806384104, -74.00899530594499 40.713817176990325, -74.00899398038108 40.71381653683097, -74.00899269031756 40.713815870553994, -74.0089914239172 40.71381515924963, -74.00899019301708 40.713814420927214, -74.00898899761599 40.71381364658155, -74.00898783771518 40.713812845217795, -74.00898671331457 40.71381201683594, -74.008985624413 40.713811152430864, -74.00898458284631 40.7138102610068, -74.00898357678105 40.71380935156976, -74.00898261804946 40.713808406108555, -74.00898170665278 40.71380743362837, -74.0089808307575 40.71380644313518, -74.00898000219829 40.713805434628114, -74.00897922097394 40.71380439910202, -74.00897848708567 40.71380334556199, -74.00897780053347 40.71380227400806, -74.00897717315075 40.713801175434234, -74.00897658127188 40.713800076857616, -74.00897604856256 40.71379895126105, -74.00897556319045 40.713797816655685, -74.00897513698902 40.713796664035534, -74.00897475812606 40.713795511411675, -74.00897443843378 40.713794340772964, -74.00897416607998 40.71379317013059, -74.00897394106345 40.71379199047945, -74.00897378705339 40.713790801817595))",100166,All Vehicles,2 Hours,Monday-Saturday 10 AM-4 PM,$5.50 1st Hour / $9.00 2nd Hour,$14.50,,,,,Murray Street,S,Church Street,West Broadway,Manhattan,Zone M1,"366,196270262"
"MULTILINESTRING ((-73.86368672277412 40.83790314295975, -73.86369130551702 40.83790018844995, -73.86369638046044 40.83789774059959, -73.86370098768339 40.83789614766621, -73.86370185027826 40.83789584882083, -73.86370761174922 40.83789454630995, -73.863713554551 40.83789385995139, -73.86390505009938 40.837876928943956, -73.86395162192949 40.83787234724081, -73.86409466622614 40.83785827455885, -73.86417269661528 40.83785059791007, -73.86424098914227 40.83784463419417, -73.86437573604192 40.83783286836965, -73.86443144633982 40.83782800365692, -73.86443617754514 40.83782956077019, -73.86444057220156 40.83783161095875, -73.86444454384157 40.837834111797775))",200078,All Vehicles,2 Hours,Monday-Saturday 9 AM-7 PM,$1.50 1st Hour / $2.50 2nd Hour,$4.00,,,,,Archer Street,N,White Plains Road,Leland Avenue,Bronx,Zone 3,"212,692446076"
"MULTILINESTRING ((-73.86404413409102 40.83995048512012, -73.86404254662725 40.839949807878156, -73.86404099482667 40.83994908565353, -73.86403947868934 40.839948318446204, -73.86403801005378 40.83994751527508, -73.86403656520595 40.83994667611223, -73.8640351560029 40.83994580097155, -73.86403379430173 40.8399448898671, -73.86403248012074 40.839943933793926, -73.86403120156615 40.83994295074791, -73.86402998235201 40.83994194075704, -73.86402879880113 40.83994088578344, -73.8640276627152 40.839939812855896, -73.8640265741311 40.83993870396457, -73.86402554488747 40.839937568128406, -73.86402456312726 40.83993640533333, -73.86402364070752 40.839935215593364, -73.86402277760988 40.83993400791345, -73.86402196199558 40.83993277327471, -73.86402120572176 40.839931511691084, -73.86402050875157 40.83993024117238, -73.86401985924637 40.839928952699815, -73.86401928092027 40.8399276463012, -73.86401876191621 40.839926321962665, -73.86401830221577 40.83992498868909, -73.86401790183736 40.8399236374756, -73.86401756074416 40.83992228633196, -73.86401729083002 40.839920917262376, -73.86401647504294 40.83991628685925, -73.86401302434581 40.83989670694474, -73.86400853525022 40.83987119064759, -73.8639993347498 40.83981870799436, -73.86399013426383 40.83976622533998, -73.86398092195385 40.839713733665455, -73.86397523524555 40.839681296555185, -73.86397172149692 40.839661251008664, -73.86396250921601 40.83960875933174, -73.86395330878818 40.83955627667251, -73.86394410839324 40.83950378500715, -73.8639348961375 40.83945130233154, -73.86392564004169 40.83939707264382, -73.86391639581792 40.83934284296884, -73.86390803371843 40.839293853410034, -73.86390713975234 40.839288613278676, -73.8638978837202 40.83923437458229, -73.86388862768479 40.83918014488959, -73.86387937166441 40.839125915195645, -73.8638695447418 40.83906328681534, -73.86385628896649 40.83898726133191, -73.86383709053662 40.83888169711387, -73.86380433234599 40.838701572143044, -73.86379490449268 40.838642151784384, -73.863767844279 40.83847160217941, -73.86375113504961 40.83838100709725, -73.86371672348386 40.83819443529266, -73.86368994985254 40.8380288729338, -73.86367361316428 40.8379278514462, -73.86367383949327 40.837923288006856, -73.86367488972516 40.83791879217799, -73.863676747085 40.83791444948662, -73.86367937346162 40.83791034273329, -73.86368272008382 40.83790654930279, -73.86368672277412 40.83790314295975))",200079,All Vehicles,2 Hours,Monday-Saturday 9 AM-7 PM,$1.50 1st Hour / $2.50 2nd Hour,$4.00,,,,,White Plains Road,W,Guerlain Street,Archer Street,Bronx,Zone 3,"755,924293656"
