order_number,record_type,order_type,borough,on_street,on_street_suffix,from_street,from_street_suffix,to_street,to_street_suffix,side_of_street,order_completed_on_date,sign_code,sign_description,sign_size,sign_design_voided_on_date,sign_location,distance_from_intersection,arrow_direction,facing_direction,sheeting_type,support,sign_notes,sign_x_coord,sign_y_coord
S-01656183,Current,S-,Brooklyn,HENDRIX STREET,,NEW LOTS AVENUE,,HEGEMAN AVENUE,,E,09/13/2023,PS-2GA,NO PARKING ANYTIME --> (SUPERSEDES SP-854CA),018 X 012,,,487.0,South,,PNTD,DR,,1015753.0,180907.0
P-01667780,Current,P-,Manhattan,3 AVENUE,,EAST   85 STREET,,EAST   86 STREET,,W,09/13/2023,PS-127C,2 HMP SATURDAY 8AM-7PM <->,018 X 018,,,44.0,,,PNTD,SAME,,996877.0,222815.0
S-01665760,Current,S-,Bronx,EAST  217 STREET,,WHITE PLAINS ROAD,,BARNES AVENUE,,N,09/13/2023,PS-191EA,TRUCK (SYMBOL) TRUCK LOADING ONLY MONDAY-FRIDAY 8AM-6PM --> (SUPERSEDES SP-449CA & SP-70BA),018 X 018,,,146.0,West,,PNTD,DR,,1022145.0,260647.0
P-01667780,Current,P-,Manhattan,3 AVENUE,,EAST   85 STREET,,EAST   86 STREET,,W,09/13/2023,PS-528C,1 HMP COMMERCIAL VEHICLES ONLY MONDAY-FRIDAY 8AM-7PM <->,018 X 024,,,44.0,,,PNTD,SAME,,996877.0,222815.0
P-01705178,Current,P-,Manhattan,HUDSON STREET,,CHARLES STREET,,PERRY STREET,,E,03/04/2024,PS-121BA,NO PARKING (SANITATION BROOM SYMBOL) 7:30AM-8AM EXCEPT SUNDAY --> (SUPERSEDES SP-139CA & PS-23BA),018 X 012,,,196.0,South,,PNTD,DR,,982560.0,207047.0
S-01668596,Current,S-,Bronx,MORRIS AVENUE,,EAST  182 STREET,,EAST  183 STREET,,W,09/13/2023,PS-113B,NO PARKING (SANITATION BROOM SYMBOL) MONDAY THURSDAY 9AM-10:30AM <-> (SUPERSEDES SP-413C),018 X 012,,,324.0,,,PNTD,DR,,1011276.0,251737.0
S-01665760,Current,S-,Bronx,EAST  217 STREET,,WHITE PLAINS ROAD,,BARNES AVENUE,,N,09/13/2023,PS-32BA,NO PARKING (SANITATION BROOM SYMBOL) MONDAY 9:30AM-11AM --> (SUPERSEDES SP-453CA),018 X 012,,,99.0,West,,PNTD,DR,,1022102.0,260665.0
P-01696468,Current,P-,Manhattan,MADISON AVENUE,,EAST   37 STREET,,EAST   38 STREET,,W,02/28/2024,PS-367C,5 HMP 7PM-MIDNIGHT EXCEPT SUNDAY <->,018 X 018,,,59.0,,,PNTD,SAME,,989384.0,212452.0
P-01772982,Current,P-,Brooklyn,SCHERMERHORN STREET,,BOERUM PLACE,,COURT STREET,,N,12/30/2024,PS-65CA,2 HMP 8AM-7PM EXCEPT SUNDAY --> (SUPERSEDES R7-128RBA),018 X 018,,,57.0,West,,PNTD,SAME,,987043.0,190814.0
S-01656183,Current,S-,Brooklyn,HENDRIX STREET,,NEW LOTS AVENUE,,HEGEMAN AVENUE,,E,09/13/2023,PS-80B,NO PARKING (SANITATION BROOM SYMBOL) TUESDAY FRIDAY 11:30AM-1PM <-> (SUPERSEDES SP-361C),018 X 012,,,59.0,,,PNTD,DR,,1015542.0,181279.0
S-01668902,Current,S-,Brooklyn,STERLING STREET,,WASHINGTON AVENUE,,BEDFORD AVENUE,,S,09/13/2023,PS-12B,NO PARKING (SANITATION BROOM SYMBOL) TUESDAY FRIDAY 8:30AM-10AM <-> (SUPERSEDES SP-846C),018 X 012,,,127.0,,,PNTD,LP,,995233.0,180658.0
S-01765801,Current,S-,Manhattan,LEXINGTON AVENUE,,EAST   51 STREET,,EAST   50 STREET,,E,12/17/2024,PS-10EA,"TAXI HAILING (SYMBOL) TAXI STAND --> (SUPERSEDES SP-327BA, SP-433BA, SP555BA & SP-557BA)",018 X 012,,,103.0,North,,PNTD,BIDPOLE,,991983.0,215028.0
S-01707104,Current,S-,Manhattan,LAFAYETTE STREET,,EAST HOUSTON STREET,,BLEECKER STREET,,E,03/04/2024,SI-1878G,LOCAL MTA BUS ROUTE PANEL (TEXT TO BE MODIFIED AS REQUESTED),14.12 X 6,,,110.0,,,PNTD,SAME,M1,985602.0,203537.0
S-01687314,Current,S-,Queens,251 STREET,,NORTHERN BOULEVARD,,GASKELL ROAD,,W,06/10/2024,PS-3GA,NO STOPPING ANYTIME --> (SUPERSEDES SP-14AA),018 X 012,,,451.0,North,,PNTD,DR,,1057377.0,219117.0
S-01656247,Current,S-,Brooklyn,VERMONT STREET,,BLAKE AVENUE,,SUTTER AVENUE,,W,09/13/2023,PS-54B,NO PARKING (SANITATION BROOM SYMBOL) MONDAY THURSDAY 8AM-9:30AM <-> (SUPERSEDES SP-412C),018 X 012,,,40.0,,,PNTD,DR,,1013930.0,182761.0
S-01668596,Current,S-,Bronx,MORRIS AVENUE,,EAST  182 STREET,,EAST  183 STREET,,W,09/13/2023,PS-113B,NO PARKING (SANITATION BROOM SYMBOL) MONDAY THURSDAY 9AM-10:30AM <-> (SUPERSEDES SP-413C),018 X 012,,,181.0,,,PNTD,LP,,1011215.0,251607.0
S-01697953,Current,S-,Staten Island,LUTEN AVENUE,,AMBOY ROAD,,EYLANDT STREET,,W,03/04/2024,PS-1GA,"NO STANDING ANYTIME --> (SUPERSEDES SP-1044BA, SP-10BA, SP-216BA & SP-270BA)",018 X 012,,,1.169,North,,PNTD,DR,,930879.0,131717.0
P-01670158,Current,P-,Manhattan,BROADWAY,,FAIRVIEW AVENUE,,WEST  193 STREET,,E,09/13/2023,PS-121B,NO PARKING (SANITATION BROOM SYMBOL) 7:30AM-8AM EXCEPT SUNDAY <-> (SUPERSEDES SP-139C & PS-23B),018 X 012,,,530.0,,,PNTD,DR,,1003114.0,251905.0
S-01674163,Current,S-,Brooklyn,HAVEMEYER STREET,,BROADWAY,,SOUTH    5 STREET,,W,11/13/2023,PS-1G,"NO STANDING ANYTIME <-> (SUPERSEDES SP-1044B, SP-10B, SP-216B & SP-270B)",018 X 012,,,181.0,,,PNTD,DR,,995622.0,197716.0
S-01668902,Current,S-,Brooklyn,STERLING STREET,,WASHINGTON AVENUE,,BEDFORD AVENUE,,S,09/13/2023,PS-12B,NO PARKING (SANITATION BROOM SYMBOL) TUESDAY FRIDAY 8:30AM-10AM <-> (SUPERSEDES SP-846C),018 X 012,,,890.0,,,PNTD,LP,,995994.0,180719.0
S-01818908,Current,S-,Queens,101 AVENUE,,131 STREET,,132 STREET,,S,10/14/2025,SP-477BA,BUS STOP SIGN (BUS & HANDICAP SYMBOLS) NO STANDING W/ SINGLE ARROW,020 DIAMETER,,,85.0,West,,PNTD,BUSPOLE,550177,1035296.0,191740.0
P-01279780,Current,P-,Queens,MARATHON PARKWAY,,HORACE HARDING EXPWY,S S/R,60 AVENUE,,W,12/27/2017,PS-86G,NO STANDING SCHOOL DAYS 7AM-5PM <-> (SUPERSEDES SP-128C & SP-376B),018 X 012,,,434.0,,,PNTD,DR,,1058677.0,216014.0
P-01833055,Current,P-,Bronx,BROADWAY,,VAN CORTLANDT PARK SOUTH,,VAN CORTLANDT PARK,,E,12/24/2025,SI-1878G,LOCAL MTA BUS ROUTE PANEL (TEXT TO BE MODIFIED AS REQUESTED),14.12 X 6,,,2.064,,,PNTD,SAME,W1,,
