bbl,numfloors,landuse,bldgclass
4061730023.0,2.0,1.0,A5
4061730024.0,1.67,1.0,A0
4061690026.0,2.5,1.0,B3
4061720001.0,2.0,2.0,C9
4061720006.0,3.0,2.0,C1
4061720019.0,1.0,5.0,K1
4061760001.0,2.0,8.0,M1
2026030083.0,7.0,6.0,E7
4061760014.0,2.5,1.0,A1
2036480043.0,1.0,,Z9
2036150047.0,2.0,1.0,A1
2036410001.0,4.0,8.0,W9
5067510154.0,2.0,1.0,B2
2032690001.0,1.0,5.0,K1
4061760032.0,2.0,1.0,B2
4061760033.0,2.0,1.0,B2
4061760034.0,2.0,1.0,B2
4061760035.0,2.0,1.0,B2
4061760038.0,3.0,2.0,C1
4061760047.0,2.0,5.0,K2
4061760055.0,2.0,5.0,O2
4061760058.0,2.0,5.0,O2
1022150610.0,1.0,5.0,K1
2034450040.0,2.5,1.0,B2
2034460181.0,2.0,1.0,B2
4061760060.0,3.0,5.0,O7
4061760130.0,2.0,1.0,B2
4061770036.0,2.5,1.0,A1
4061770037.0,2.5,1.0,A1
4061770039.0,2.5,1.0,B2
4061770041.0,2.5,1.0,B2
4061770043.0,2.5,2.0,C0
4061770047.0,2.0,1.0,A5
4061770049.0,2.0,1.0,A5
4062340024.0,2.0,5.0,O7
4062380017.0,1.0,5.0,K1
4062470023.0,2.0,1.0,B3
4062380018.0,1.0,5.0,K1
4062380023.0,,10.0,G7
2034570025.0,1.75,1.0,B9
2034570028.0,2.0,1.0,B3
2034570030.0,2.0,1.0,A2
4062380024.0,2.0,5.0,O2
4062380027.0,2.5,1.0,B3
4062380035.0,3.0,2.0,C0
4061720021.0,2.0,5.0,K2
4061720024.0,1.0,5.0,K1
4061760023.0,2.0,1.0,B2
4061760025.0,2.0,1.0,B1
4061760029.0,2.0,1.0,B2
